P22,P2002,P3,P2,P1304,P2004,P28,P803,P1303,P27,P1301,P25,P23,P802,P0A,P2001,P801,P1,CAPITAL,CCAA,P14R,P26,P4,P804,P19,TAMUNI,P1302,ESTUDIOS,P2003
1,6,-5,-2,0,9,1,-3,5,1,0,2,61,-3,1,9,-5,-2,1,16,11,1,4,-4,4,5,0,6,4
1,5,-4,-2,0,7,1,-2,9,1,0,1,51,-2,1,8,-4,-2,1,16,3,2,3,-4,3,5,8,6,4
2,1,-5,-2,0,1,1,-4,0,1,0,4,54,-4,1,5,-4,-4,1,16,11,1,5,-4,3,5,0,5,1
1,7,-4,-1,0,9,2,-2,9,2,0,1,53,-3,1,10,-5,-1,1,16,3,4,4,-4,3,5,0,5,4
1,8,-3,-2,0,10,1,-3,0,1,0,1,44,-3,1,10,-4,-3,1,16,12,5,3,-4,3,5,0,6,3
2,5,-3,-3,0,9,1,-2,7,1,0,1,44,-2,2,8,-4,-4,1,16,5,5,4,-4,3,5,6,6,3
1,8,-5,-1,0,8,1,-4,10,2,0,4,35,-5,1,8,-5,-4,1,16,3,5,3,-5,3,5,0,3,5
1,8,-5,-1,0,10,1,-5,0,2,0,1,38,-5,1,10,-5,-1,1,16,97,4,5,-5,1,5,0,6,7
1,4,-4,-4,0,7,1,-3,0,1,0,1,36,-3,1,7,-4,-3,1,16,5,5,3,-4,3,5,0,5,3
1,3,-4,-3,0,9,1,-4,0,1,0,1,35,-3,1,9,-4,-3,1,16,2,4,3,-4,3,5,10,5,1
2,5,-4,-1,0,9,1,-3,5,2,0,1,31,-4,1,9,-5,-2,1,16,11,5,4,-5,2,5,0,6,3
2,3,-4,-1,0,10,1,-4,5,2,0,1,37,-3,1,10,-5,-2,1,16,2,2,4,-5,3,5,10,6,2
2,7,-4,-4,5,8,1,-4,5,1,5,1,46,-4,1,9,-4,-4,1,16,97,2,4,-4,5,5,5,6,6
1,4,-2,-2,0,9,1,-2,10,1,0,1,60,-2,1,10,-5,-2,1,16,5,5,2,-5,3,5,0,6,3
1,5,-4,-3,0,7,1,-3,0,1,0,2,70,-4,1,7,-5,-3,1,16,12,2,4,-5,5,5,0,6,4
1,7,-4,-1,0,9,1,-5,0,1,8,1,50,-4,1,9,-4,-2,1,16,3,2,2,-5,4,5,0,6,4
2,4,-5,-4,0,9,1,-5,0,1,0,1,60,-5,1,10,-5,-4,1,16,97,2,5,-5,4,5,0,5,5
2,4,-4,-2,0,7,1,-3,0,2,0,2,74,-3,1,7,-4,-2,1,16,2,2,3,-4,4,5,5,2,3
1,4,-4,-2,0,9,1,-4,0,1,0,1,26,-4,1,7,-4,-3,1,16,97,2,4,-4,5,5,0,5,1
2,6,-4,-2,0,7,1,-2,0,1,0,1,36,-3,1,9,-5,-2,1,16,5,5,4,-5,4,5,0,6,4
1,5,-4,-3,0,6,1,-5,0,1,0,2,77,-5,1,7,-4,-4,1,16,97,2,4,-4,5,5,0,2,4
2,5,-4,-3,0,9,1,-4,0,1,0,1,61,-4,1,8,-5,-2,1,16,2,5,3,-4,3,5,0,5,4
2,5,-3,-1,7,5,1,-4,0,1,7,6,18,-3,1,5,-3,-2,1,16,18,2,3,-3,8,5,1,4,3
1,4,-4,-1,8,6,1,-5,1,1,8,1,46,-4,1,6,-3,-2,1,16,1,2,3,-3,7,5,3,6,2
2,7,-2,-2,0,10,1,-3,8,1,0,6,26,-4,1,9,-5,-2,1,16,3,2,3,-5,2,5,0,6,4
1,5,-3,-2,0,7,1,-3,6,1,0,6,19,-3,1,8,-3,-2,1,16,3,5,3,-3,4,5,5,4,3
1,5,-5,-3,0,10,1,-3,0,1,0,1,33,-4,1,10,-5,-3,3,16,12,5,4,-4,2,1,0,5,4
1,6,-3,-2,0,9,1,-3,0,1,0,1,59,-3,1,8,-5,-2,3,16,12,4,3,-4,3,1,0,6,4
